time,logger,level,database,message,exception
2013-05-22 20:58:13.6433,Raven.Database.Server.HttpServer,Debug,,Request #  13: GET     -    50 ms - Paramore_Integration_Tests - 200 - /indexes/dynamic/SpeakerDocuments?query=&pageSize=128&cutOffEtag=00000001-0000-0100-0000-000000000002,
2013-05-22 20:58:13.6433,Raven.Database.Server.HttpServer,Debug,,"	Query: Tag:SpeakerDocuments
	Time: 28 ms
	Index: Raven/DocumentsByEntityName
	Results: 1 returned out of 1 total.
",
2013-05-22 20:58:13.6433,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Delete a document with key: SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4 and etag ,
2013-05-22 20:58:13.6433,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4' was deleted,
2013-05-22 20:58:13.6433,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 7 because: DEL SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4,
2013-05-22 20:58:13.6433,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0036487,
2013-05-22 20:58:13.6433,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"Executing Index: Raven/DocumentsByEntityName, Keys: SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4",
2013-05-22 20:58:13.6433,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4' was not found,
2013-05-22 20:58:13.6433,Raven.Database.Indexing.Index.Indexing,Debug,Paramore_Integration_Tests,Deleting (SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4) from Raven/DocumentsByEntityName,
2013-05-22 20:58:13.6613,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:13.6433,Raven.Database.Server.HttpServer,Debug,,Request #  14: POST    -     4 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:13.6613,Raven.Database.Server.HttpServer,Debug,,"	DELETE SpeakerDocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4
",
2013-05-22 20:58:13.7543,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 8 because: WORK BY IndexingExecuter,
2013-05-22 20:58:13.7543,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 8, for: IndexingExecuter, will wait for additional work",
2013-05-22 20:58:13.7543,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 8, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:14.1133,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,"Inserted a new document with key 'SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade', update: False, ",
2013-05-22 20:58:14.1133,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Put document SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade with etag 00000001-0000-0100-0000-000000000003,
2013-05-22 20:58:14.1133,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 9 because: PUT SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade,
2013-05-22 20:58:14.1133,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0021514,
2013-05-22 20:58:14.1133,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0100-0000-000000000002: (SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade),
2013-05-22 20:58:14.1133,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"After read triggers executed, 1 documents remained",
2013-05-22 20:58:14.1133,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0100-0000-000000000002: (SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade)",
2013-05-22 20:58:14.1133,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 9, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:14.1133,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade),
2013-05-22 20:58:14.1133,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: speakerdocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade
	Tag I-: SpeakerDocuments
	LastModified I-: 2013-05-22T19:58:14.1133926Z
",
2013-05-22 20:58:14.1133,Raven.Database.Server.HttpServer,Debug,,Request #  15: POST    -     4 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:14.1133,Raven.Database.Server.HttpServer,Debug,,"	PUT SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade
",
2013-05-22 20:58:14.1133,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'SpeakerDocuments/d5dc2d16-a349-4345-b19e-3fcd7abbcade' was found,
